City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-5.52,89,100,2.94,GS,1722738395
1,shali,43.1481,45.9019,20.63,53,15,1.7,RU,1722738983
2,puerto cabezas,14.0351,-83.3888,25.76,87,61,2.87,NI,1722738803
3,kirsanov,52.6549,42.7224,18.82,57,100,2.3,RU,1722738734
4,garoowe,8.4054,48.4845,23.16,65,99,9.82,SO,1722738987
5,tiksi,71.6872,128.8694,8.63,70,100,1.47,RU,1722738510
6,waitangi,-43.9535,-176.5597,9.34,85,64,4.02,NZ,1722738460
7,afaahiti,-17.75,-149.2833,24.93,77,96,6.87,PF,1722738990
8,karratha,-20.7377,116.8463,22.68,54,0,6.97,AU,1722738991
9,flying fish cove,-10.4217,105.6791,26.82,78,75,5.66,CX,1722738992
10,qaqortoq,60.7167,-46.0333,6.65,81,94,1.62,GL,1722738993
11,isafjordur,66.0755,-23.124,7.26,95,100,4.67,IS,1722738995
12,kirkwall,58.9848,-2.9587,11.03,93,64,2.57,GB,1722738996
13,port-aux-francais,-49.35,70.2167,2.82,85,82,5.24,TF,1722738998
14,blackmans bay,-43.0167,147.3167,13.74,66,39,0.45,AU,1722738999
15,tralee,52.2704,-9.7026,12.84,86,100,2.01,IE,1722739000
16,labrador city,52.9463,-66.9114,15.95,64,40,4.92,CA,1722739001
17,west island,-12.1568,96.8225,27.99,69,41,3.6,CC,1722738427
18,ushuaia,-54.8,-68.3,-1.19,59,75,2.06,AR,1722738488
19,nar'yan-mar,67.6713,53.087,10.83,70,67,8.65,RU,1722739007
20,onguday,50.75,86.15,22.04,55,19,1.28,RU,1722739008
21,russkaya polyana,49.417,31.9201,15.71,97,100,5.16,UA,1722739009
22,port alfred,-33.5906,26.891,18.43,46,99,0.89,ZA,1722739010
23,fortuna foothills,32.6578,-114.4119,44.05,19,0,4.12,US,1722739011
24,adamstown,-25.066,-130.1015,21.21,72,100,7.04,PN,1722739013
25,ust-nera,64.5667,143.2,16.52,41,75,2.89,RU,1722738450
26,la trinitaria,16.1167,-92.05,15.73,91,99,3.28,MX,1722739015
27,vorgashor,67.5833,63.95,13.94,61,75,7.69,RU,1722739016
28,waddan,29.1614,16.139,26.54,35,0,3.66,LY,1722739017
29,udachny,66.4167,112.4,21.56,40,68,3.96,RU,1722738466
30,margaret river,-33.95,115.0667,13.74,74,7,4.33,AU,1722738468
31,potosi,-19.5836,-65.7531,4.62,18,0,0.96,BO,1722738850
32,lingyuan,41.24,119.4011,23.19,94,100,2.21,CN,1722739022
33,tura,25.5198,90.2201,26.0,91,32,2.12,IN,1722738479
34,akrehamn,59.2667,5.1833,14.67,88,100,6.69,NO,1722739025
35,hailar,49.2,119.7,26.73,60,15,6.14,CN,1722739026
36,port lincoln,-34.7333,135.8667,12.53,71,100,3.79,AU,1722739027
37,rusape,-18.5278,32.1284,8.72,36,5,1.86,ZW,1722739028
38,nguigmi,14.2495,13.1092,27.09,66,74,7.17,NE,1722739029
39,invercargill,-46.4,168.35,10.01,73,99,1.79,NZ,1722738505
40,edinburgh of the seven seas,-37.0676,-12.3116,12.66,84,100,15.84,SH,1722739031
41,constantia,44.1833,28.65,20.38,65,0,6.42,RO,1722738953
42,wewak,-3.5534,143.6268,27.48,81,100,2.23,PG,1722739034
43,bilariaganj,26.1986,83.2333,28.59,75,71,8.46,IN,1722739035
44,morehead city,34.7229,-76.726,29.0,89,75,5.66,US,1722738382
45,hermanus,-34.4187,19.2345,14.89,77,100,11.05,ZA,1722739037
46,riberalta,-10.9833,-66.1,26.15,55,31,1.56,BO,1722739038
47,kiyawa,11.7828,9.6125,23.12,83,95,3.31,NG,1722739039
48,stanley,54.868,-1.6985,11.55,89,97,2.09,GB,1722739040
49,tual,-5.6667,132.75,25.3,88,50,9.42,ID,1722739041
50,franklin,39.9667,-83.0166,23.75,93,0,2.06,US,1722738500
51,qarauyl,48.9451,79.255,23.19,52,87,1.79,KZ,1722739044
52,albany,42.6001,-73.9662,23.64,70,100,0.55,US,1722738318
53,hithadhoo,-0.6,73.0833,27.66,73,98,1.96,MV,1722738472
54,melilla,35.2937,-2.9383,24.21,83,100,1.54,ES,1722739047
55,grajau,-5.8194,-46.1386,23.04,46,8,2.01,BR,1722739048
56,valvedditturai,9.8167,80.1667,28.79,76,100,3.64,LK,1722739049
57,puerto natales,-51.7236,-72.4875,1.46,99,100,1.46,CL,1722739050
58,enewetak,11.3474,162.3373,28.7,73,84,1.42,MH,1722739051
59,island harbour,50.724,-1.2758,13.85,79,100,1.34,GB,1722739052
60,siwa oasis,29.2041,25.5195,26.79,50,0,2.63,EG,1722739053
61,kapuskasing,49.4169,-82.4331,17.05,72,40,1.54,CA,1722738518
62,olonkinbyen,70.9221,-8.7187,4.88,99,99,4.0,SJ,1722739056
63,longyearbyen,78.2186,15.6401,9.91,100,75,2.57,SJ,1722739057
64,lompoc,34.6391,-120.4579,17.14,92,75,3.6,US,1722739058
65,abqaiq,25.9371,49.6776,33.14,15,99,4.49,SA,1722739059
66,pitimbu,-7.4706,-34.8086,22.33,84,24,5.46,BR,1722739060
67,thompson,55.7435,-97.8558,16.09,55,40,1.54,CA,1722739061
68,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1722738471
69,paulo afonso,-9.4061,-38.2147,21.16,88,20,2.57,BR,1722739063
70,st. john's,47.5649,-52.7093,17.93,84,0,8.23,CA,1722739065
71,aykhal,66.0,111.5,20.65,39,87,4.39,RU,1722738793
72,kachug,53.9606,105.8817,23.05,53,66,1.47,RU,1722739067
73,aswan,24.0934,32.907,32.76,40,69,4.2,EG,1722739068
74,vallehermoso,10.3349,123.3259,29.7,71,100,3.17,PH,1722739069
75,grand-popo,6.2804,1.8225,23.61,91,78,3.91,BJ,1722739070
76,taungoo,18.9333,96.4333,26.34,91,100,3.38,MM,1722739071
77,ta`u,-14.2336,-169.5144,26.84,60,1,2.81,AS,1722739072
78,klyuchi,52.2667,79.1667,25.32,48,2,4.29,RU,1722739074
79,new norfolk,-42.7826,147.0587,14.4,51,31,4.46,AU,1722739075
80,bredasdorp,-34.5322,20.0403,10.13,72,100,7.05,ZA,1722739076
81,fale old settlement,-9.3852,-171.2468,27.96,77,100,6.23,TK,1722738511
82,geraldton,-28.7667,114.6,14.23,72,0,5.14,AU,1722739078
83,ola,59.5833,151.2833,16.02,48,1,2.92,RU,1722738524
84,hobyo,5.3505,48.5268,24.37,84,100,9.18,SO,1722739080
85,puerto ayora,-0.7393,-90.3518,19.75,93,77,3.43,EC,1722739081
86,afua,-0.1567,-50.3867,23.52,93,40,2.01,BR,1722739082
87,mount isa,-20.7333,139.5,23.87,41,0,6.17,AU,1722739084
88,brcko,44.8728,18.8083,15.43,50,3,1.0,BA,1722739085
89,qamdo,31.1667,97.2333,14.62,56,11,1.79,CN,1722739086
90,coron,11.9986,120.2043,29.62,71,66,3.21,PH,1722739087
91,antsiranana,-12.2787,49.2917,20.23,61,5,6.02,MG,1722739088
92,bilibino,68.0546,166.4372,10.03,57,100,1.43,RU,1722739089
93,vredendal,-31.6683,18.5012,12.78,80,100,6.27,ZA,1722739090
94,georgetown,5.4112,100.3354,27.97,61,20,3.6,MY,1722738515
95,lihue,21.9789,-159.3672,28.77,64,100,5.66,US,1722739092
96,college,64.8569,-147.8028,14.99,85,75,1.54,US,1722738504
97,menominee,45.1078,-87.6143,23.25,78,0,0.0,US,1722739095
98,coquimbo,-29.9533,-71.3436,11.85,89,75,2.06,CL,1722739058
99,colonia,50.9333,6.95,19.34,86,20,1.54,DE,1722739098
100,teruel,40.6667,-0.6667,17.2,57,0,0.64,ES,1722738967
101,zakynthos,37.7914,20.8953,21.68,64,0,0.0,GR,1722739100
102,keflavik,64.0049,-22.5624,11.95,76,75,8.75,IS,1722739101
103,whitehorse,60.7161,-135.0538,18.43,42,75,3.6,CA,1722739102
104,bethel,41.3712,-73.414,23.44,90,40,0.0,US,1722739103
105,chibougamau,49.9168,-74.3659,18.79,59,0,4.63,CA,1722738825
106,brisas de zicatela,15.8369,-97.0419,25.54,87,100,3.14,MX,1722739106
107,villa regina,-39.1,-67.0667,10.18,49,100,3.68,AR,1722738995
108,fundao,-19.9341,-40.4047,20.85,94,98,0.55,BR,1722739108
109,kodiak,57.79,-152.4072,13.73,72,100,5.14,US,1722739039
110,vernon,50.2581,-119.2691,35.2,27,52,1.03,CA,1722739112
111,badger,64.8,-147.5333,14.95,81,75,1.54,US,1722739113
112,alotau,-10.3069,150.4462,24.42,83,98,3.09,PG,1722739114
113,port mathurin,-19.6833,63.4167,21.64,73,80,4.94,MU,1722739115
114,iqaluit,63.7506,-68.5145,4.85,80,75,7.72,CA,1722739116
115,lerwick,60.1545,-1.1494,9.0,86,4,2.57,GB,1722739118
116,hamilton,39.1834,-84.5333,25.02,84,20,0.0,US,1722738864
117,nyagan,62.1406,65.3936,18.51,76,84,1.48,RU,1722739120
118,sao felix do xingu,-6.6447,-51.995,22.39,46,6,0.99,BR,1722739122
119,slobodskoy,58.7322,50.1772,15.36,93,71,1.79,RU,1722739123
120,jinghong,21.991,100.7341,23.54,97,100,0.57,CN,1722739124
121,vadso,70.0744,29.7487,10.49,87,100,4.63,NO,1722739126
122,saudarkrokur,65.7461,-19.6394,9.46,88,100,1.81,IS,1722739127
123,slave lake,55.2834,-114.769,18.99,55,0,4.63,CA,1722739128
124,mawlaik,23.6333,94.4167,25.03,96,100,0.93,MM,1722739129
125,wailua homesteads,22.0669,-159.378,28.44,73,100,5.66,US,1722739130
126,iskateley,67.6803,53.1512,10.85,70,66,8.63,RU,1722739131
127,mailsi,29.8003,72.1758,32.69,57,49,6.01,PK,1722739132
128,fortaleza,-3.7227,-38.5247,26.79,83,20,4.12,BR,1722738716
129,tabou,4.423,-7.3528,23.59,85,100,2.93,CI,1722739135
130,ribeira grande,38.5167,-28.7,22.65,90,7,1.79,PT,1722739136
131,quellon,-43.1167,-73.6167,6.99,93,100,2.44,CL,1722739137
132,amos,48.5669,-78.1162,15.91,73,35,2.31,CA,1722739138
133,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,40,0,5.0,RU,1722739139
134,green river,41.5286,-109.4662,32.22,24,81,8.13,US,1722739140
135,knaresborough,54.0091,-1.4685,14.19,87,100,1.34,GB,1722739141
136,ihsaniye,40.6909,29.8347,22.21,36,0,0.89,TR,1722739143
137,tolanaro,-25.0319,46.9987,16.04,94,20,3.09,MG,1722739144
138,buka,40.8108,69.1986,28.22,21,60,3.69,UZ,1722739145
139,vilyuchinsk,52.9306,158.4028,23.15,74,100,3.53,RU,1722739146
140,kavaratti,10.5669,72.642,27.5,80,100,5.22,IN,1722739147
141,lazaro cardenas,17.9583,-102.2,25.38,88,100,2.23,MX,1722739107
142,colby,39.3958,-101.0524,28.33,47,0,3.6,US,1722739149
143,belleville,44.1788,-77.3705,23.92,91,40,3.09,CA,1722739150
144,carnarvon,-24.8667,113.6333,20.88,48,0,5.27,AU,1722739151
145,oeiras do para,-2.0031,-49.8544,22.96,65,2,1.63,BR,1722739153
146,pangody,65.85,74.4859,19.1,84,100,4.93,RU,1722739154
147,nouadhibou,20.931,-17.0347,23.99,88,15,1.54,MR,1722739155
148,ilulissat,69.2167,-51.1,7.01,70,24,0.0,GL,1722739156
149,rio grande,-32.035,-52.0986,14.97,95,86,7.24,BR,1722739157
150,dudinka,69.4058,86.1778,15.27,53,0,6.96,RU,1722739158
151,grand falls-windsor,48.9332,-55.6649,20.84,72,100,3.75,CA,1722739159
152,komsomol'sk,49.0097,33.6455,20.0,85,100,3.99,UA,1722739160
153,gounou gaya,9.6294,15.5132,22.22,96,100,1.86,TD,1722739161
154,zheleznodorozhnyy,55.7503,38.0042,16.31,83,98,1.66,RU,1722739163
155,la ceiba,15.7597,-86.7822,25.9,94,20,1.03,HN,1722739164
156,susuman,62.7833,148.1667,16.77,32,41,2.69,RU,1722739165
157,saint-louis,16.3333,-15.0,27.8,69,100,3.66,SN,1722739166
158,cururupu,-1.8283,-44.8683,22.42,90,0,1.07,BR,1722739167
159,severo-yeniseyskiy,60.3725,93.0408,20.19,45,9,1.9,RU,1722739168
160,camocim,-2.9022,-40.8411,24.67,81,0,6.45,BR,1722739169
161,ashland,40.8167,-82.2665,22.3,95,0,1.94,US,1722738612
162,avarua,-21.2078,-159.775,24.03,50,100,2.06,CK,1722739171
163,saint-philippe,-21.3585,55.7679,17.77,74,0,1.67,RE,1722739173
164,namibe,-15.1961,12.1522,16.24,80,0,3.91,AO,1722738994
165,chonchi,-42.6128,-73.8092,7.84,98,100,0.98,CL,1722739176
166,port blair,11.6667,92.75,28.02,83,75,1.03,IN,1722739177
167,yellowknife,62.456,-114.3525,20.79,49,75,2.57,CA,1722739178
168,iranshahr,27.2025,60.6848,34.19,49,0,0.0,IR,1722739171
169,shakawe,-18.3667,21.85,13.67,15,2,2.2,BW,1722739183
170,brookings,44.3114,-96.7984,27.0,81,0,3.09,US,1722739184
171,atafu village,-8.5421,-172.5159,27.93,78,100,6.49,TK,1722739185
172,cabedelo,-6.9811,-34.8339,22.37,81,5,5.21,BR,1722739186
173,lloydminster,53.2835,-110.0016,19.12,55,100,5.14,CA,1722739187
174,goundam,16.4145,-3.6708,28.44,64,83,3.45,ML,1722739189
175,nova sintra,14.8667,-24.7167,26.39,77,71,1.21,CV,1722739190
176,amga,60.8953,131.9608,21.63,31,17,2.72,RU,1722739192
177,lebu,-37.6167,-73.65,8.34,95,100,3.26,CL,1722739193
178,greymouth,-42.4667,171.2,8.85,70,73,1.8,NZ,1722739194
179,sinabang,2.4803,96.3801,24.9,91,100,2.56,ID,1722739195
180,nemuro,43.3236,145.575,19.24,91,57,5.04,JP,1722739196
181,hammerfest,70.6634,23.6821,16.25,67,0,1.54,NO,1722739197
182,hawaiian paradise park,19.5933,-154.9731,26.04,86,100,3.6,US,1722739198
183,mechanicsville,37.6088,-77.3733,24.49,90,100,3.6,US,1722739200
184,korla,41.7597,86.1469,32.96,20,50,7.24,CN,1722739201
185,berdigestyakh,62.0989,126.6992,22.94,28,39,3.01,RU,1722739202
186,port elizabeth,-33.918,25.5701,17.83,57,0,1.54,ZA,1722739203
187,codrington,-38.2667,141.9667,13.13,63,100,3.01,AU,1722739204
188,capilla de guadalupe,20.8333,-102.5833,15.56,90,100,1.12,MX,1722739205
189,pacific grove,36.6177,-121.9166,19.56,90,75,4.12,US,1722739206
190,pahrump,36.2083,-115.9839,38.24,19,0,4.02,US,1722739208
191,ipilan,8.8431,117.9033,29.18,73,83,1.78,PH,1722739209
192,bandarbeyla,9.4942,50.8122,26.02,65,76,11.32,SO,1722739210
193,san rafael,-34.6177,-68.3301,11.64,32,100,1.92,AR,1722739211
194,uturoa,-16.7333,-151.4333,24.37,74,96,7.6,PF,1722739212
195,vallegrande,-18.4897,-64.1069,10.95,95,2,0.68,BO,1722739213
196,howard springs,-12.497,131.047,28.95,59,96,2.64,AU,1722739214
197,colares,38.7992,-9.4469,19.95,84,0,7.21,PT,1722738938
198,kingston,17.997,-76.7936,29.53,74,20,5.66,JM,1722738884
199,utrik,11.2278,169.8474,28.48,76,5,4.19,MH,1722739217
200,kish,26.5578,54.0194,33.15,79,71,2.06,IR,1722739219
201,wilson,36.1501,-86.2833,25.89,83,0,0.0,US,1722739221
202,yokadouma,3.5167,15.05,20.37,100,100,0.9,CM,1722739222
203,angahuan,19.55,-102.1833,9.8,96,100,0.64,MX,1722739223
204,al ghayzah,16.2079,52.176,25.91,82,58,4.97,YE,1722739224
205,happy valley-goose bay,53.3168,-60.3315,17.17,94,100,4.63,CA,1722739225
206,margate,51.3813,1.3862,17.71,78,100,3.9,GB,1722739226
207,anadyr,64.75,177.4833,9.28,87,100,8.0,RU,1722739227
208,san andres,12.5847,-81.7006,29.01,84,20,1.54,CO,1722739200
209,nizhnesortymskiy,62.4397,71.7603,21.68,65,100,1.45,RU,1722739230
210,genhe,50.7833,121.5167,16.16,96,100,1.35,CN,1722739231
211,quthing,-30.4,27.7003,10.07,36,5,1.77,LS,1722739232
212,sitangkai,4.6628,119.3928,28.58,74,100,5.08,PH,1722739233
213,cabo san lucas,22.8909,-109.9124,31.77,54,40,6.69,MX,1722738944
214,forster,-32.1667,152.5167,19.1,55,82,2.37,AU,1722739235
215,san patricio,28.017,-97.5169,29.94,70,1,4.21,US,1722739236
216,dunhua,43.3725,128.2425,27.37,76,82,3.07,CN,1722739152
217,chui,-33.6971,-53.4616,12.66,85,98,3.96,UY,1722739239
218,jamestown,42.097,-79.2353,21.77,97,37,0.45,US,1722739028
219,kil bhuvanagiri,11.4667,79.6333,30.19,62,100,3.12,IN,1722739241
220,candido de abreu,-24.5669,-51.3333,17.18,65,0,0.92,BR,1722739242
221,tazovsky,67.4667,78.7,15.4,69,85,5.87,RU,1722739243
222,yemetsk,63.4721,41.7941,14.31,96,37,2.26,RU,1722739244
223,toliara,-23.35,43.6667,16.71,84,0,4.36,MG,1722739245
224,ad dawadimi,24.5077,44.3924,26.64,21,100,3.03,SA,1722739246
225,kudahuvadhoo,2.6708,72.8944,27.86,71,27,1.65,MV,1722739247
226,kone,-21.0595,164.8658,22.36,50,0,5.05,NC,1722739249
227,holualoa,19.6228,-155.9522,26.91,83,40,4.63,US,1722739250
228,m'sila,35.7058,4.5419,25.5,45,0,4.03,DZ,1722739251
229,talnakh,69.4865,88.3972,17.66,52,1,4.97,RU,1722739252
230,mufumbwe,-13.6833,24.8,11.36,39,2,2.38,ZM,1722739253
231,syanno,54.8106,29.7069,10.92,91,0,3.07,BY,1722739254
232,luziania,-16.2525,-47.9503,19.83,57,0,1.82,BR,1722739255
233,crane,31.3974,-102.3501,30.9,36,100,3.17,US,1722739256
234,punta arenas,-53.15,-70.9167,1.06,80,100,5.66,CL,1722738624
235,garachico,28.7781,-17.7646,20.06,83,0,6.17,ES,1722739259
236,chatillon-sur-seine,47.8585,4.5738,17.14,91,67,1.36,FR,1722739260
237,port saint john's,-31.6229,29.5448,19.5,26,74,3.71,ZA,1722739261
